ID,Title,Author,Description,Price,Category,Availability
2,1984,George Orwell,A dystopian story about totalitarian government surveillance.,8.49,Science Fiction,Unavailable
92,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
82,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Unavailable
32,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
52,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Unavailable
22,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Unavailable
42,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
62,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
12,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
72,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
4,A Brief History of Time,Stephen Hawking,A landmark volume in popular science.,15.49,Science,Available
54,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Available
34,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Unavailable
84,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Available
64,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Unavailable
14,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Available
44,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Available
24,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Available
94,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Unavailable
74,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Available
7,Becoming,Michelle Obama,The memoir of the former First Lady of the United States.,18.99,Biography,Available
27,Becoming (Edition 3),Michelle Obama,The memoir of the former First Lady of the United States.,20.89,Biography,Available
